own_it,card_number,card_name,rarity,exclusive_pack,type,hp,stage,pack_points,retreat_cost__effect,how_to_get
,A1 001,Bulbasaur,◇,Genetic Apex (A1)Mewtwo,Grass,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Vine Whip"", ""img_alts"": [""Grass"", ""Colorless""], ""description"": ""40""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 135,Golett,◇,Genetic Apex (A1)Any,Psychic,90,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Mega Punch"", ""img_alts"": [""Psychic"", ""Colorless 2""], ""description"": ""50""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 136,Golurk,◇◇,Genetic Apex (A1)Any,Psychic,140,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Double Lariat"", ""img_alts"": [""Psychic 2"", ""Colorless 2""], ""description"": ""100x Flip 2 coins. This attack does 100 damage for each heads.""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 137,Sandshrew,◇,Genetic Apex (A1)Any,Fighting,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Scratch"", ""img_alts"": [""Fighting""], ""description"": ""10""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 138,Sandslash,◇◇,Genetic Apex (A1)Any,Fighting,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Slash"", ""img_alts"": [""Fighting 2""], ""description"": ""70""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 139,Diglett,◇,Genetic Apex (A1)Pikachu,Fighting,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Mud-Slap"", ""img_alts"": [""Fighting""], ""description"": ""20""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 140,Dugtrio,◇◇,Genetic Apex (A1)Pikachu,Fighting,70,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Dig"", ""img_alts"": [""Fighting""], ""description"": ""40 Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokemon.""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 141,Mankey,◇,Genetic Apex (A1)Charizard,Fighting,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Low Kick"", ""img_alts"": [""Fighting""], ""description"": ""20""}]}",Open Genetic Apex (A1) Charizard packs
,A1 142,Primeape,◇◇,Genetic Apex (A1)Charizard,Fighting,90,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Fight Back"", ""img_alts"": [""Fighting 2""], ""description"": ""40+ If this Pokemon has damage on it, this attack does 60 more damage.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 143,Machop,◇,Genetic Apex (A1)Charizard,Fighting,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Knuckle Punch"", ""img_alts"": [""Fighting""], ""description"": ""20""}]}",Open Genetic Apex (A1) Charizard packs
,A1 144,Machoke,◇◇,Genetic Apex (A1)Charizard,Fighting,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Strength"", ""img_alts"": [""Fighting 2""], ""description"": ""50""}]}",Open Genetic Apex (A1) Charizard packs
,A1 145,Machamp,◇◇◇,Genetic Apex (A1)Charizard,Fighting,150,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Seismic Toss"", ""img_alts"": [""Fighting 3""], ""description"": ""100""}]}",Open Genetic Apex (A1) Charizard packs
,A1 146,Machamp ex,◇◇◇◇,Genetic Apex (A1)Charizard,Fighting,180,Stage 2,500  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Mega Punch"", ""img_alts"": [""Fighting 3""], ""description"": ""120""}]}",Open Genetic Apex (A1) Charizard packs
,A1 147,Geodude,◇,Genetic Apex (A1)Pikachu,Fighting,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Tackle"", ""img_alts"": [""Fighting""], ""description"": ""20""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 148,Graveler,◇◇,Genetic Apex (A1)Pikachu,Fighting,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Rollout"", ""img_alts"": [""Fighting"", ""Colorless 2""], ""description"": ""70""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 149,Golem,◇◇◇,Genetic Apex (A1)Pikachu,Fighting,160,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Double-Edge"", ""img_alts"": [""Fighting"", ""Colorless 3""], ""description"": ""150 This Pokemon also does 50 damage to itself.""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 150,Onix,◇◇,Genetic Apex (A1)Pikachu,Fighting,110,Basic,70  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Land Crush"", ""img_alts"": [""Fighting 3""], ""description"": ""70""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 151,Cubone,◇,Genetic Apex (A1)Mewtwo,Fighting,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Growl"", ""img_alts"": [""Colorless""], ""description"": ""During your opponent’s next turn, attacks used by the Defending Pokemon do 20 less damage (before applying Weakness).""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 152,Marowak,◇◇,Genetic Apex (A1)Mewtwo,Fighting,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bone Beatdown"", ""img_alts"": [""Fighting""], ""description"": ""40""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 153,Marowak ex,◇◇◇◇,Genetic Apex (A1)Mewtwo,Fighting,140,Stage 1,500  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bonemerang"", ""img_alts"": [""Fighting 2""], ""description"": ""80x Flip 2 coins. This attack does 80 damage for each heads.""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 154,Hitmonlee,◇,Genetic Apex (A1)Mewtwo,Fighting,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Stretch Kick"", ""img_alts"": [""Fighting""], ""description"": ""80 This attack does 30 damage to 1 of your opponent’s Benched Pokemon.""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 155,Hitmonchan,◇,Genetic Apex (A1)Charizard,Fighting,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Jab"", ""img_alts"": [""Fighting""], ""description"": ""30""}]}",Open Genetic Apex (A1) Charizard packs
,A1 156,Rhyhorn,◇,Genetic Apex (A1)Mewtwo,Fighting,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Tackle"", ""img_alts"": [""Fighting 2"", ""Colorless""], ""description"": ""60""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 157,Rhydon,◇◇,Genetic Apex (A1)Mewtwo,Fighting,120,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Horn Drill"", ""img_alts"": [""Fighting 3"", ""Colorless""], ""description"": ""100""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 158,Kabuto,◇◇,Genetic Apex (A1)Charizard,Fighting,90,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Shell Attack"", ""img_alts"": [""Fighting""], ""description"": ""40""}]}",Open Genetic Apex (A1) Charizard packs
,A1 159,Kabutops,◇◇◇,Genetic Apex (A1)Charizard,Fighting,140,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Leech Life"", ""img_alts"": [""Fighting""], ""description"": ""50 Heal from this Pokemon the same amount of damage you did to your opponent's Active Pokemon.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 160,Mienfoo,◇,Genetic Apex (A1)Pikachu,Fighting,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Pound"", ""img_alts"": [""Colorless""], ""description"": ""20""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 161,Mienshao,◇◇,Genetic Apex (A1)Pikachu,Fighting,80,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Spiral Kick"", ""img_alts"": [""Colorless""], ""description"": ""40""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 162,Clobbopus,◇,Genetic Apex (A1)Any,Fighting,80,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Knuckle Punch"", ""img_alts"": [""Fighting"", ""Colorless""], ""description"": ""30""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 163,Grapploct,◇◇,Genetic Apex (A1)Any,Fighting,130,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Knock Back"", ""img_alts"": [""Fighting 2"", ""Colorless""], ""description"": ""70 Switch out your opponent's Active Pokemon to the Bench. (Your opponent chooses the new Active Pokemon.)""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 164,Ekans,◇,Genetic Apex (A1)Any,Darkness,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bite"", ""img_alts"": [""Darkness""], ""description"": ""20""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 165,Arbok,◇◇,Genetic Apex (A1)Any,Darkness,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Corner"", ""img_alts"": [""Darkness"", ""Colorless""], ""description"": ""60 During your opponent's next turn, the Defending Pokemon can't retreat.""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 166,Nidoran F,◇,Genetic Apex (A1)Pikachu,Darkness,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Call for Family"", ""img_alts"": [""Darkness""], ""description"": ""Put 1 random Nidoran M from your deck onto your Bench.""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 167,Nidorina,◇◇,Genetic Apex (A1)Pikachu,Darkness,80,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Bite"", ""img_alts"": [""Darkness""], ""description"": ""30""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 168,Nidoqueen,◇◇◇,Genetic Apex (A1)Pikachu,Darkness,140,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Lovestrike"", ""img_alts"": [""Darkness 2"", ""Colorless""], ""description"": ""80+ This attack does 50 more damage for each of your Benched Nidoking.""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 169,Nidoran M,◇,Genetic Apex (A1)Pikachu,Darkness,60,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Peck"", ""img_alts"": [""Darkness""], ""description"": ""20""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 170,Nidorino,◇◇,Genetic Apex (A1)Pikachu,Darkness,90,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Horn Attack"", ""img_alts"": [""Darkness"", ""Colorless""], ""description"": ""40""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 171,Nidoking,◇◇◇,Genetic Apex (A1)Pikachu,Darkness,150,Stage 2,150  Pts,"{""stage"": ""Stage 2"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Poison Horn"", ""img_alts"": [""Darkness 2"", ""Colorless""], ""description"": ""90 Your opponent's Active Pokemon is now Poisoned.""}]}",Open Genetic Apex (A1) Pikachu packs
,A1 172,Zubat,◇,Genetic Apex (A1)Mewtwo,Darkness,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Glide"", ""img_alts"": [""Colorless""], ""description"": ""10""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 173,Golbat,◇◇,Genetic Apex (A1)Mewtwo,Darkness,40,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Wing Attack"", ""img_alts"": [""Colorless""], ""description"": ""40""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 174,Grimer,◇,Genetic Apex (A1)Mewtwo,Darkness,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Poison Gas"", ""img_alts"": [""Darkness""], ""description"": ""10 Your opponent’s Active Pokemon is now Poisoned.""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 175,Muk,◇◇◇,Genetic Apex (A1)Mewtwo,Darkness,130,Stage 1,150  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Venoshock"", ""img_alts"": [""Darkness 2"", ""Colorless""], ""description"": ""70+ If your opponent's Active Pokemon is Poisoned, this attack does 50 damage.""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 176,Koffing,◇,Genetic Apex (A1)Mewtwo,Darkness,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Suffocating Gas"", ""img_alts"": [""Darkness""], ""description"": ""20""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 177,Weezing,◇◇◇,Genetic Apex (A1)Mewtwo,Darkness,110,Stage 1,150  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": ""Gas Leak"", ""ability_text"": ""Gas Leak Once during your turn, if this Pokemon is in the Active Spot, you may make your opponent's Active Pokemon Poisoned."", ""attacks"": [{""name"": ""Tackle"", ""img_alts"": [""Darkness""], ""description"": ""30""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 178,Mawile,◇,Genetic Apex (A1)Charizard,Metal,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Crunch"", ""img_alts"": [""Metal""], ""description"": ""20 Flip a coin. If heads, discard a random Energy from your opponent's Active Pokemon.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 179,Pawniard,◇,Genetic Apex (A1)Any,Metal,50,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Pierce"", ""img_alts"": [""Metal""], ""description"": ""30""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 180,Bisharp,◇◇,Genetic Apex (A1)Any,Metal,70,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Metal Claw"", ""img_alts"": [""Metal 2""], ""description"": ""70""}]}","Open either Genetic Apex (A1) Pikachu, Charizard or Mewtwo packs"
,A1 181,Meltan,◇,Genetic Apex (A1)Charizard,Metal,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Amass"", ""img_alts"": [""Metal""], ""description"": ""Take 1 Metal Energy from your Energy Zone and attach it to this Pokemon.""}]}",Open Genetic Apex (A1) Charizard packs
,A1 182,Melmetal,◇◇◇,Genetic Apex (A1)Charizard,Metal,130,Stage 1,150  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": ""Hard Coat"", ""ability_text"": ""Hard Coat This Pokemon takes -20 damage from attacks."", ""attacks"": [{""name"": ""Heavy Impact"", ""img_alts"": [""Metal 3"", ""Colorless""], ""description"": ""120""}]}",Open Genetic Apex (A1) Charizard packs
,A1 183,Dratini,◇,Genetic Apex (A1)Mewtwo,Dragon,70,Basic,35  Pts,"{""stage"": ""Basic"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Ram"", ""img_alts"": [""Water"", ""Lightning""], ""description"": ""70""}]}",Open Genetic Apex (A1) Mewtwo packs
,A1 184,Dragonair,◇◇,Genetic Apex (A1)Mewtwo,Dragon,100,Stage 1,70  Pts,"{""stage"": ""Stage 1"", ""retreat_cost"": ""Retreat Cost"", ""retreat_cost_img"": ""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"", ""ability_name"": null, ""ability_text"": null, ""attacks"": [{""name"": ""Tail Smack"", ""img_alts"": [""Water"", ""Lightning"", ""Colorless""], ""description"": ""80""}]}",Open Genetic Apex (A1) Mewtwo packs
